N,S,contacts_nat,contacts_amyloid,alpha_sigma,alpha_D_only,alpha_gamma_only,alpha_Deq,alpha_gammaeq,alpha_Q,delta_pct,early_sigma,early_D_only,early_gamma_only,early_Deq,early_gammaeq
40,8,12,14,0.4567,1.0000,1.0000,0.5000,0.4235,0.7407,38.34,YES,NO,NO,YES,YES
40,10,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.7310,31.60,YES,NO,NO,YES,YES
40,10,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.7640,34.56,YES,NO,NO,YES,YES
40,10,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.7843,36.25,YES,NO,NO,YES,YES
40,10,12,8,0.6119,1.0000,1.0000,0.5000,0.6923,0.8640,29.18,YES,NO,NO,YES,YES
40,10,12,10,0.5511,1.0000,1.0000,0.5000,0.5902,0.8095,31.92,YES,NO,NO,YES,YES
40,10,12,14,0.4567,1.0000,1.0000,0.5000,0.4235,0.7256,37.05,YES,NO,NO,YES,YES
50,6,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.7400,32.43,YES,NO,NO,YES,YES
50,6,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.7800,35.90,YES,NO,NO,YES,YES
50,6,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.8055,37.92,YES,NO,NO,YES,YES
50,6,12,8,0.6119,1.0000,1.0000,0.5000,0.6923,0.8800,30.46,YES,NO,NO,YES,YES
50,6,12,10,0.5511,1.0000,1.0000,0.5000,0.5902,0.8255,33.24,YES,NO,NO,YES,YES
50,6,12,14,0.4567,1.0000,1.0000,0.5000,0.4235,0.7415,38.41,YES,NO,NO,YES,YES
50,8,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.7233,30.88,YES,NO,NO,YES,YES
50,8,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.7606,34.26,YES,NO,NO,YES,YES
50,8,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.7843,36.25,YES,NO,NO,YES,YES
50,8,12,8,0.6119,1.0000,1.0000,0.5000,0.6923,0.8606,28.89,YES,NO,NO,YES,YES
50,8,12,10,0.5511,1.0000,1.0000,0.5000,0.5902,0.8060,31.63,YES,NO,NO,YES,YES
50,8,12,14,0.4567,1.0000,1.0000,0.5000,0.4235,0.7221,36.75,YES,NO,NO,YES,YES
50,10,8,8,0.5000,1.0000,1.0000,0.5000,0.5000,0.7112,29.70,YES,NO,NO,YES,YES
50,10,12,12,0.5000,1.0000,1.0000,0.5000,0.5000,0.7464,33.01,YES,NO,NO,YES,YES
50,10,16,16,0.5000,1.0000,1.0000,0.5000,0.5000,0.7688,34.97,YES,NO,NO,YES,YES
50,10,12,8,0.6119,1.0000,1.0000,0.5000,0.6923,0.8464,27.71,YES,NO,NO,YES,YES
50,10,12,10,0.5511,1.0000,1.0000,0.5000,0.5902,0.7919,30.41,YES,NO,NO,YES,YES
50,10,12,14,0.4567,1.0000,1.0000,0.5000,0.4235,0.7080,35.48,YES,NO,NO,YES,YES
